N,UserType,User,Post,mentioned,likeCount,commentCount,repostCount,popularity,popSum
24,individual,Hirak Sarkar,"I uninstalled TikTok and I resigned from my job today. Yes I did, Every company is working from home now anyway I could have managed to work from home in Kolkata as well but I don't want that because I don't want to be a part of an organisation whose so called influencers promotes acid attack In there videos, and by making a conspiracy they deleted carryminati's video from YouTube and that is really really bad and disgusting you guys know I'm working as a content moderator from last 2 years. I can earn money by working in several companies maybe I can earn little or large amount that doesn't matter but I can't it earn happiness neither I can buy happiness from anywhere which I used to get from carryminati's videos. I don't think he targeted any community or any groups, He said only to some private individuals who really deserve this. As you guys know I am a big fan of shahrukh khan as well he and his companies doing so many things for acid attack survivors and today's some so called social media influencers are promoting acid attacks over their videos. Now is this not a target to a particular community???? WooooW. Anyways #justiceforcarryminati
#punishmentforFaisalsiddiqui CarryMinati",TikTok Youtube,141,20,5,161,
25,,SFGATE,"Those overseeing the facility did not tell employees about Utley's death at first and also told managers not to discuss it with their workers, The Verge reports.",Facebook,112,26,28,138,
26,,Make Common Sense Great Again,"a MAGA Hat, I Am Going to Delete Them for Terrorism’
#ExposeFacebook Content Moderator: ‘If Someone is Wearing a MAGA Hat, I Am Going to Delete Them for Terrorism’",Facebook,70,43,,113,
27,,The Intercept,"Facebook has said that the contractors in question, who must wade through so-called priority zero content encompassing the worst of child sexual abuse and graphic violence, can’t safely do this work from home.",Facebook,97,15,19,112,
28,individual,Brees Media,"A BBC whistleblower speaks.
Do you know what I think watching this as an ex BBC employee? Save the BBC. Brave employees come out and fight. The future is giving our future to Google Twitter Facebook News which we don’t own with content moderators who decide our future.
Remove the rot there’s no other choice. She’s the first person who has said this but I have so many others too scared to come out - to be this brave. But they will, I know they will.",Youtube Twitter Facebook,104,7,,111,
29,,My San Antonio from the Express-News,"He had suffered a heart attack and was 42 years old, leaving behind a wife and two daughters, the report says. While the report says that Utley was under a lot of stress at work, it does not link the heart attack to his working conditions.",Facebook,91,14,35,105,
30,,The Irish Times,"A former content moderator is suing Facebook Ireland, claiming he suffered psychological injuries as a result of his work",Facebook,54,44,19,98,
31,,Quartz,"“Ms. Scola’s PTSD symptoms may be triggered when she touches a computer mouse, enters a cold building, watches violence on television, hears loud noises, or is startled.""",Facebook,69,24,19,93,
32,individual,Willian Gheen President of Americans for Legal Immigration,"Facebook Content Moderator: 'If Someone’s Wearing MAGA Hat, I'm Going to Delete Them for Terrorism'
https://youtu.be/l7o4A16QCxE",Facebook,58,12,158,70,
33,,AFP News Agency,"As Facebook chief Mark Zuckerberg prepares to be grilled by a Senate committee about the handling of politically-charged posts, content moderators are insisting that properly valuing their work is key.
Read story: http://u.afp.com/3VgX",Facebook,48,21,10,69,
34,individual,Jim Renacci,"Big tech bias is a threat to the 2020 election.
https://www.projectveritas.com/news/facebook-content-moderator-if-someone-is-wearing-a-maga-hat-i-am-going-to/",Facebook,51,13,19,64,
35,,The Irish Times,"Chris Gray, a former content moderator for Facebook, says he began to suffer symptoms of psychological distress, becoming “numb and desensitised” to the content, and increasingly irritable, argumentative and aggressive.",Facebook,33,30,6,63,
36,,Business Insider,"The job has been described as ""the worst job in technology.""",Facebook,43,19,7,62,
37,individual,Angel Pastor,Challenges of SOCIAL MEDIA CONTENT MODERATOR,Facebook,36,22,,58,
38,,MOTHERBOARD,"“No, snacks don't make up for it. No one cares about the snacks.”",Facebook,20,23,6,43,
39,,AOL,Ex-contractor has sued #Facebook for 'ignoring its duty' to protect moderators who deal with mental trauma after seeing disturbing imagery.,Facebook,27,12,9,39,
40,,KXAN News,Her'es a look at the terrible job of a Facebook content moderator:,Facebook,16,18,5,34,
41,,Y-Kollektiv,Q&A I Ich lösche brutalen Content! I Y-Kollektiv,Youtube Tiktok Facebook Twitter,32,1,,33,
42,,The Economic Times,"A Facebook content moderator at a US site operated by Cognizant died last year on duty after he failed to meet the ""98% accuracy"" target set by the social networking giant",Facebook,28,0,9,28,
43,,Tech Insider,She's the one who asked Zuckerberg if he'd spend an hour a day as a Facebook content moderator.,Facebook,24,3,2,27,
44,,THE WEEK,Say what now?!,Facebook,25,1,2,26,
45,,Nieman Journalism Lab,“I no longer believe 9/11 was a terrorist attack”: Working as a Facebook content moderator messes with people’s minds,Facebook,23,1,21,24,
46,,Rappler,"The current and former content moderators describe stressful hours spent focused on torrents of hateful, disturbing posts with little regard given to their feedback or their well-being.",Facebook,17,7,1,24,
47,individual,Chrissie Mayr,Project Veritas Exposes Facebook,Facebook,23,1,,24,
48,,Independent Lens|PBS,Delete or ignore? You choose.,Facebook,19,0,11,19,
49,,ABP Live,His co-workers noticed that he was in distress when he began sliding out of his chair.,Facebook,18,0,2,18,
50,individual,Catherine Kiene,"Have you ever been surprised by the lack of views or reactions on certain posts? If the post had conservative content, it’s likely you were shadow banned.
Listen as Facebook content moderators admit to deleting every pro-Trump post they see. Hell, you may not see this one either! But it’s worth a shot.",Facebook,13,4,7,17,
