N,type,userName,description,mentioned,commentCount,repostCount,likeCount,popularity,popSum
38,,Study of RM,"I inked a contract as content moderator 9 months ago. B4 dis job I was a happy person, some1 who makes my friends laughs. But things changes, I know suffered from anxiety, depressions. What I saw still haunting me every night, d sound of cries&cruelty resound inside my head.",not mention,22,1,327,349,
39,individual,Lauren Chen,"""Content moderator is the most important job on the internet.""
This is hilarious narc BS Face with tears of joy
These busybodies have some of the biggest misplaced superiority complexes I've ever seen
You're not a hero, you flag content that offends you
You're the Karen's of social media",Facebook,589,17,3400,3989,
40,individual,kill Skull tim Skull faust,"jobs like ""mortal kombat fatality artist"" and ""social media content moderator"" are interesting to me. trauma is interesting to me. what would you call this compelled secondhand trauma at the jobsite? it's not quite emotional labor but it's something",not mention,25,2,132,157,
41,individual,James O'Keefe,"Anger re: ""meddling in elections.""
FB whistleblower saying ""I was seeing them interfering on a global level in elections."" 
Content Moderator Jose Moreno: ‘We Rig the Game for the Left Side’
Where the hell are the journalists?
Do they actually give a F about election meddling?",Facebook,664,19,1100,1764,
42,,Project Veritas,"TUNE IN NOW: Hear more from @Project_Veritas Insider and former @Facebook
content moderator @realryanhartwig on Armed American Radio",Facebook,225,4,474,699,
43,individual,Judd Legum,"I normally will ask Facebook, give them a day or so to respond, and then write up what happened in my newsletter. 
But I'm working on another story right now.
I'm not a Facebook content moderator and can't devote every edition of my newsletter to violent Facebook ads.",Facebook,48,1,358,406,
44,individual,Judd Legum,I should have mentioned that these ads are also on instagram.,Instagram,70,1,272,342,
45,,Project Veritas,"To the content moderator @Twitter reading this right now...
#BeBrave, contact us veritastips@protonmail.com
Blow the whistle. We will have your back. #ExposeTwitter",Twitter,1200,49,2700,3900,
46,individual,Ryan Hartwig,"As a former content moderator at Facebook, I've seen firsthand the amount of human trafficking and exploitation of children that happens online. Facebook's policies can be stricter with regards to child pornography. #saveourchildren Of all the things Facebook enforces....",Facebook,222,11,615,837,
47,individual,Cerno,"Facebook Content Moderator: ""If Someone's Wearing MAGA Hat, I'm Going to Delete Them for Terrorism""",Facebook,231,7,363,594,
48,individual,James O'Keefe,"“I was seeing them interfering on a global level in elections. I saw a blatant exception that just targeted conservatives or favored liberals.” – Ryan Hartwig, Former Facebook Content Moderator",Facebook,123,2,269,392,
49,,zerohedge,"YouTube Sued By PTSD-Stricken Moderator Over 'Beheadings, Rape, Child Abuse And Other Disturbing Content'",Youtube,174,10,278,452,
50,individual,Nathizan,"I want everyone to watch this documentary It tells of a professional Content moderator that monitors various inappropriate web clips These people had to check 25,000 video cases per day, including indecent, 6-year-old child, suicide, lashing, etc., until some of them had mental problems and ended their lives by suicide.",not mention,11300,20,3500,14800,
